Timestep,poi_abc_1,poi_abc_11,poi_abc_12,poi_abc_13,poi_abc_14,poi_abc_15,poi_abc_16,poi_abc_17,poi_abc_3,poi_abc_4,poi_abc_5,poi_abc_6,poi_abc_7,poi_abc_8,poi_abc_9
61553,8,88,140,0,114,12,0,210,0,0,30,40,0,8,56
61554,8,88,140,0,118,12,0,212,0,0,30,42,0,8,56
61555,8,88,142,0,122,12,0,204,0,0,34,42,0,6,54
61556,10,88,144,0,124,10,0,200,0,0,34,46,0,6,50
61557,10,88,144,0,124,10,0,198,0,0,38,44,0,4,50
61558,10,88,144,0,126,8,0,196,0,0,38,44,0,4,48
61559,12,88,144,0,130,8,0,192,0,0,38,42,0,4,46
61560,10,92,148,0,136,6,0,186,0,0,38,38,0,4,44
61561,10,92,150,0,132,6,0,184,0,0,40,36,0,4,46
61562,10,90,150,0,132,6,0,184,0,0,40,36,0,4,44
61563,10,90,154,0,128,4,0,180,0,0,40,36,0,4,44
61564,8,92,154,0,124,4,0,184,0,0,40,38,0,4,46
61565,10,92,156,0,124,2,0,184,0,0,40,40,0,4,42
61566,8,92,156,0,126,2,0,184,4,0,38,38,0,4,40
61567,8,92,158,0,124,0,0,186,4,0,38,40,0,4,38
61568,8,92,160,0,124,0,0,182,6,0,38,40,0,4,36
61569,8,94,158,0,124,2,0,182,6,0,40,42,0,2,36
61570,8,96,158,0,124,2,0,182,6,0,40,40,0,2,34
61571,8,96,156,0,124,2,0,182,6,0,40,40,0,0,36
61572,8,98,156,0,124,2,0,182,6,0,38,38,0,0,34
61573,8,98,156,0,130,2,0,178,6,0,38,36,0,0,32
61574,8,100,150,0,124,6,0,186,6,0,38,36,0,0,30
61575,6,102,150,0,130,6,0,188,6,0,36,32,0,2,28
61576,6,100,150,0,124,8,0,194,6,0,36,34,0,2,28
61577,6,96,152,0,126,12,0,194,4,0,36,34,0,2,28
61578,6,94,150,0,124,18,0,196,2,0,32,36,0,4,24
61579,6,94,148,0,124,22,0,198,2,0,32,36,0,4,24
61580,4,96,144,0,124,24,0,202,2,0,30,36,0,6,22
61581,4,94,140,0,124,28,0,204,2,0,30,36,0,8,22
61582,4,92,136,0,124,34,0,204,6,0,30,36,0,8,18
61583,4,92,138,0,124,34,0,202,6,0,26,36,0,10,20
61584,2,94,138,0,124,36,0,204,6,0,22,36,0,12,16
61585,2,96,138,0,120,34,0,210,6,0,22,36,0,12,18
61586,2,96,134,0,122,34,0,212,6,0,18,38,0,14,16
61587,4,94,130,0,118,38,0,220,4,0,16,38,0,16,16
61588,4,92,132,0,118,40,0,220,4,0,20,36,0,16,16
61589,4,88,130,0,116,42,0,226,4,0,18,38,0,18,16
61590,4,90,130,0,110,42,0,230,4,0,20,40,0,18,18
61591,4,90,132,0,110,42,0,228,4,0,20,40,0,20,18
61592,6,86,134,0,110,42,0,228,4,0,20,40,0,20,18
61593,10,86,134,0,112,42,0,226,0,0,20,40,0,20,18
61594,10,84,136,0,110,42,0,228,0,0,22,40,0,20,16
61595,10,82,138,0,114,38,0,228,0,0,24,36,0,20,16
61596,10,80,138,0,114,40,0,228,0,0,24,38,0,18,16
61597,10,82,140,0,110,36,0,232,0,0,24,40,0,16,18
61598,10,82,148,0,106,32,0,230,0,0,26,44,0,16,20
61599,8,76,148,0,108,38,0,234,0,0,26,44,0,14,22
61600,8,80,154,0,106,32,0,232,0,0,26,44,0,14,24
61601,10,80,152,0,108,32,0,236,0,0,26,44,0,12,24
61602,10,76,154,0,110,30,0,236,0,0,26,40,0,12,26
61603,10,76,152,0,108,28,0,242,0,0,26,38,0,12,28
61604,12,68,150,0,110,34,0,240,0,0,26,38,0,10,28
61605,14,68,152,0,108,32,0,236,0,0,26,36,0,10,28
61606,14,68,152,0,108,34,0,236,0,0,26,36,0,8,30
